5,-15448,2048,-2944,1695,-1892,-912
8,-15564,1648,-2900,1839,-1837,-966
11,-15624,1436,-3116,2024,-1783,-969
19,-15736,1528,-3684,2342,-1732,-1053
29,-15376,2044,-3292,3011,-1622,-1268
39,-15200,1752,-2768,3559,-1278,-1451
50,-15116,1376,-3120,4062,-982,-1520
59,-15000,1120,-3256,4732,-727,-1568
69,-15076,376,-3068,5632,-513,-1590
78,-15320,-264,-3060,6738,-285,-1447
89,-15464,-548,-3068,8100,-159,-1256
99,-15400,-628,-3028,9292,-20,-1024
108,-15156,-80,-3408,10135,47,-730
117,-15084,712,-3536,10389,144,-498
128,-15036,1436,-3564,9870,244,-330
137,-15096,1988,-3336,8965,302,-278
146,-15344,2768,-3300,7449,318,-363
156,-15788,4608,-3168,4831,251,-478
165,-15808,6164,-2960,1247,399,-967
176,-15244,5044,-2856,-2258,871,-1610
185,-15312,1888,-2220,-3949,1028,-1841
196,-15320,-340,-2924,-4743,1104,-1970
206,-15672,-1580,-3136,-4415,1163,-1785
217,-15632,-2260,-2880,-3151,1195,-1445
228,-15560,-2440,-3464,-1619,1226,-1088
238,-15720,-1716,-4336,-218,1168,-705
248,-15636,-1144,-4916,692,962,-421
258,-15376,-808,-5160,1258,824,-234
268,-15272,-548,-5340,1618,697,-178
277,-15304,4,-5048,1770,580,-41
285,-15252,484,-4596,1580,509,35
294,-15372,784,-4072,1207,480,12
304,-15540,848,-3736,690,483,-10
312,-15492,1012,-3572,244,510,-131
321,-15444,1040,-3824,-106,542,-257
331,-15612,856,-3924,-418,563,-322
340,-15608,740,-3900,-568,613,-427
350,-15604,728,-4080,-466,583,-499
359,-15652,492,-4084,-171,572,-523
368,-15896,436,-4404,77,572,-496
377,-15920,372,-4372,266,521,-471
387,-15676,-36,-4472,463,479,-400
396,-15604,-308,-4288,636,422,-383
405,-15460,-592,-4032,968,316,-308
414,-15524,-236,-4004,1252,245,-208
423,-15680,312,-4296,1314,178,-168
434,-15724,1020,-4316,1187,202,-230
443,-15616,1432,-4448,836,183,-345
452,-15676,1412,-4512,388,185,-488
461,-15584,1104,-4468,18,117,-659
471,-15616,1008,-4648,-144,56,-729
480,-15504,908,-4684,-255,13,-835
489,-15564,692,-4884,-300,-99,-900
498,-15756,560,-4900,-264,-196,-942
508,-15740,616,-4784,-145,-295,-987
518,-15656,436,-4500,73,-386,-1032
527,-15652,484,-4292,204,-481,-1095
537,-15520,588,-4336,265,-522,-1159
546,-15580,768,-4244,217,-496,-1306
556,-15464,1092,-4260,222,-546,-1462
566,-15512,1344,-4264,322,-594,-1730
576,-15592,1628,-4792,49,-638,-1918
585,-15604,1572,-4852,-211,-724,-2138
595,-15756,1132,-4904,-211,-853,-2399
606,-15632,896,-4880,-47,-1011,-2637
616,-15608,1092,-4836,255,-1117,-2866
626,-15768,1364,-4548,423,-1209,-3137
635,-15960,1296,-4252,521,-1268,-3437
646,-16068,1624,-4340,564,-1280,-3710
656,-16444,1484,-4292,573,-1245,-3996
666,-16592,1004,-3748,631,-1183,-4269
676,-16464,636,-3956,539,-1184,-4496
687,-16112,596,-3868,314,-1171,-4718
696,-16072,160,-3500,428,-1176,-4874
706,-16224,-8,-3736,380,-1183,-4975
715,-16244,-164,-3500,536,-1108,-5057
726,-16628,-512,-3712,641,-1046,-5016
736,-17048,-312,-4592,69,-1195,-5053
746,-17316,-80,-4488,-514,-1465,-5116
756,-17080,400,-4416,-1080,-1852,-5362
766,-16564,240,-3388,-537,-2204,-5772
777,-16588,-304,-3568,-703,-2167,-5946
787,-16668,-984,-3976,-573,-2189,-5737
797,-16368,-1472,-4272,-191,-2122,-5383
808,-15408,-2036,-4116,377,-1774,-4905
819,-14644,-2688,-4236,969,-1280,-4294
829,-14116,-3220,-3888,1873,-918,-3375
839,-13968,-3072,-3760,3001,-784,-2110
849,-13836,-2740,-3144,4020,-793,-687
860,-14016,-2148,-2628,5087,-738,725
870,-13816,-1032,-2276,5625,-686,2199
880,-13568,484,-1952,5538,-504,3584
889,-13520,1692,-1932,4695,-58,4745
899,-13652,2404,-2560,3162,635,5764
909,-14360,2752,-2904,1516,1095,6503
918,-15092,2948,-2848,108,1340,7033
928,-15416,2748,-2620,-837,1492,7435
937,-15440,2164,-2308,-1605,1665,7907
948,-15572,1456,-2316,-2265,1691,8474
958,-15808,1196,-2408,-2624,1652,8982
968,-16148,1192,-2628,-2747,1518,9489
978,-16684,1688,-3032,-2855,1357,9777
989,-16540,2104,-2700,-2861,1273,9899
999,-16376,1932,-2848,-2887,1284,9915
1009,-16400,1836,-2928,-2931,1270,9939
1019,-16484,1692,-3064,-2792,1196,9922
1030,-16368,1580,-3076,-2445,1149,9935
1040,-16408,1920,-3088,-2145,1159,9928
1050,-16244,2056,-3316,-1857,1140,9969
1061,-16148,2364,-3528,-1936,1096,9875
1072,-15784,2444,-3244,-1902,987,9499
1082,-15572,2064,-3008,-1746,892,8992
1092,-15508,1784,-2856,-1752,928,8583
1101,-15624,1776,-3436,-1806,942,8293
1112,-15660,2392,-3772,-1847,837,8071
1122,-15552,2848,-3536,-1901,798,7746
1132,-15556,2936,-3600,-2083,780,7372
1142,-15368,2892,-3336,-2166,769,6953
1153,-15340,2396,-3404,-1999,744,6481
1163,-15188,2284,-3588,-1895,744,6152
1173,-14980,2200,-3596,-1672,758,5828
1183,-14988,1736,-3464,-1334,803,5383
1193,-14764,1696,-3528,-996,766,5010
1203,-14756,1980,-3552,-713,673,4601
1213,-14692,2396,-3608,-502,614,4075
1222,-14568,2388,-3264,-503,585,3608
1232,-14448,2412,-3320,-530,621,3163
1243,-14420,2088,-3004,-461,602,2690
1252,-14296,2112,-3164,-449,581,2280
1262,-14452,2184,-3032,-453,564,1805
1272,-14244,2100,-2908,-498,570,1291
1282,-14280,2116,-2856,-604,554,770
1292,-14368,2236,-2988,-818,519,183
1301,-14492,2084,-2892,-1066,490,-464
1311,-14436,1980,-3040,-1298,488,-1163
1321,-14508,1976,-3288,-1695,511,-1878
1332,-14972,2500,-4184,-2072,774,-2449
1343,-14340,2200,-3880,-2865,748,-3552
1353,-14472,276,-4192,-2956,1015,-4737
1363,-14840,-772,-4476,-2877,1277,-5576
1374,-14868,-2072,-5712,-2413,1510,-6426
1385,-15680,-1616,-6148,-597,993,-6080
1395,-15652,2944,-5276,1161,509,-4823
1405,-15456,6368,-4140,2086,529,-3673
1416,-15836,7952,-3044,1684,829,-3092
1426,-16724,6764,-2496,1068,1235,-3420
1436,-17604,4800,-2200,911,1411,-4118
1446,-17660,3664,-1840,704,1554,-4659
1457,-16560,3240,-2576,-80,1844,-4848
1467,-15284,3036,-3164,-1048,2033,-5320
1477,-15548,1712,-3040,-2221,2623,-6139
1487,-17228,136,-3972,-2896,3195,-7033
1499,-17940,-1592,-4484,-2211,3376,-7685
1509,-17080,-2048,-5112,-620,3063,-7575
1520,-15872,-2164,-4800,1096,2704,-7296
1530,-15072,-2740,-4672,2541,2426,-6777
1542,-15080,-2892,-5016,3886,2253,-6272
1552,-15604,-1632,-5392,4688,1946,-5834
1562,-15500,-128,-4456,4855,1839,-5510
1573,-15528,224,-4052,4230,1909,-5295
1583,-15492,-116,-3408,3637,1961,-5302
1594,-15796,-696,-3400,3400,2119,-5182
1604,-15920,-96,-3900,3302,2138,-4957
1614,-15516,808,-4004,2667,2236,-4831
1625,-15112,1400,-4904,1471,2429,-4800
1635,-14900,1600,-5748,241,2464,-4888
1645,-15056,1636,-6036,-671,2364,-5029
1655,-15172,988,-6196,-1351,2287,-5153
1666,-15168,612,-6316,-1876,2005,-5142
1676,-15256,532,-7512,-2403,1722,-5251
1686,-15340,420,-7512,-3214,1220,-5255
1696,-15180,-448,-6012,-2977,1095,-5158
1708,-15600,-788,-5016,-1939,929,-5208
1718,-15868,-1124,-4064,-1035,1050,-5204
